log started
processed 10000 loci, wrote 381 loci
processed 20000 loci, wrote 760 loci
processed 30000 loci, wrote 988 loci
processed 40000 loci, wrote 1130 loci
processed 50000 loci, wrote 1247 loci
processed 60000 loci, wrote 1371 loci
processed 70000 loci, wrote 1496 loci
processed 80000 loci, wrote 1623 loci
processed 90000 loci, wrote 1732 loci
processed 100000 loci, wrote 1878 loci
processed 110000 loci, wrote 1994 loci
processed 120000 loci, wrote 2112 loci
processed 130000 loci, wrote 2265 loci
processed 140000 loci, wrote 2437 loci
processed 150000 loci, wrote 2601 loci
processed 160000 loci, wrote 2802 loci
processed 170000 loci, wrote 3047 loci
processed 180000 loci, wrote 3308 loci
processed 190000 loci, wrote 3544 loci
processed 200000 loci, wrote 3790 loci
processed 210000 loci, wrote 4031 loci
processed 220000 loci, wrote 4274 loci
processed 230000 loci, wrote 4527 loci
processed 240000 loci, wrote 4739 loci
processed 250000 loci, wrote 5009 loci
processed 260000 loci, wrote 5252 loci
processed 270000 loci, wrote 5479 loci
processed 280000 loci, wrote 5722 loci
processed 290000 loci, wrote 5978 loci
processed 300000 loci, wrote 6234 loci
processed 310000 loci, wrote 6481 loci
processed 320000 loci, wrote 6726 loci
processed 330000 loci, wrote 6974 loci
processed 340000 loci, wrote 7222 loci
processed 350000 loci, wrote 7494 loci
processed 360000 loci, wrote 7763 loci
processed 370000 loci, wrote 8010 loci
processed 380000 loci, wrote 8259 loci
processed 390000 loci, wrote 8515 loci
processed 400000 loci, wrote 8784 loci
processed 410000 loci, wrote 9062 loci
processed 420000 loci, wrote 9317 loci
processed 430000 loci, wrote 9597 loci
processed 440000 loci, wrote 9857 loci
processed 450000 loci, wrote 10140 loci
processed 460000 loci, wrote 10459 loci
processed 470000 loci, wrote 10776 loci
processed 480000 loci, wrote 11060 loci
processed 490000 loci, wrote 11354 loci
processed 500000 loci, wrote 11668 loci
processed 510000 loci, wrote 11964 loci
processed 520000 loci, wrote 12278 loci
processed 530000 loci, wrote 12597 loci
processed 540000 loci, wrote 12896 loci
processed 550000 loci, wrote 13249 loci
processed 560000 loci, wrote 13702 loci
processed 570000 loci, wrote 14123 loci
processed 580000 loci, wrote 14547 loci
processed 590000 loci, wrote 14997 loci
processed 600000 loci, wrote 15417 loci
processed 610000 loci, wrote 15843 loci
processed 620000 loci, wrote 16294 loci
processed 630000 loci, wrote 16732 loci
processed 640000 loci, wrote 17160 loci
processed 650000 loci, wrote 17564 loci
processed 660000 loci, wrote 17976 loci
processed 670000 loci, wrote 18387 loci
processed 680000 loci, wrote 18824 loci
processed 690000 loci, wrote 19234 loci
processed 700000 loci, wrote 19665 loci
processed 710000 loci, wrote 20074 loci
processed 720000 loci, wrote 20499 loci
processed 730000 loci, wrote 20939 loci
processed 740000 loci, wrote 21390 loci
processed 750000 loci, wrote 21822 loci
processed 760000 loci, wrote 22309 loci
processed 770000 loci, wrote 22729 loci
processed 780000 loci, wrote 23174 loci
processed 790000 loci, wrote 23627 loci
processed 800000 loci, wrote 24094 loci
processed 810000 loci, wrote 24552 loci
processed 820000 loci, wrote 25028 loci
processed 830000 loci, wrote 25467 loci
processed 840000 loci, wrote 25885 loci
processed 850000 loci, wrote 26315 loci
processed 860000 loci, wrote 26781 loci
processed 870000 loci, wrote 27243 loci
processed 880000 loci, wrote 27639 loci
processed 890000 loci, wrote 28122 loci
processed 900000 loci, wrote 28495 loci
processed 910000 loci, wrote 28642 loci
processed 920000 loci, wrote 28791 loci
processed 930000 loci, wrote 28922 loci
processed 940000 loci, wrote 29010 loci
processed 950000 loci, wrote 29136 loci
processed 960000 loci, wrote 29265 loci
processed 970000 loci, wrote 29385 loci
processed 980000 loci, wrote 29527 loci
processed 990000 loci, wrote 29640 loci
processed 1000000 loci, wrote 29781 loci
processed 1010000 loci, wrote 29929 loci
processed 1020000 loci, wrote 30090 loci
processed 1030000 loci, wrote 30255 loci
processed 1040000 loci, wrote 30456 loci
processed 1050000 loci, wrote 30678 loci
processed 1060000 loci, wrote 30886 loci
processed 1070000 loci, wrote 31141 loci
processed 1080000 loci, wrote 31365 loci
processed 1090000 loci, wrote 31607 loci
processed 1100000 loci, wrote 31804 loci
processed 1110000 loci, wrote 32030 loci
processed 1120000 loci, wrote 32296 loci
processed 1130000 loci, wrote 32538 loci
